,Year,Julian_collection,Sex,Site,TL_cm,SL_cm,HW_cm,Mass_g,Papilla_cm,Acces_gonad_g,Gonad_g,Liver_g,Trap,Month,Reproductive_Status,Repro_Strategy,GSI,HSI,Fulton_Condition,SiteType,cYear
6775,2004,239,Male,FP,NA,9.54,NA,23.85,NA,NA,0.018,1.15,NA,August,NA,NA,0.000754717,0.048218029,2.746902593,Low contamination,-2
5115,2010,211,Male,P27,9.96,8.13,0.143,13.244,0.39,0.002,0.01,0.334,NA,July,NR,NA,0.000755059,0.025218967,2.464606192,High contamination,4
5213,2007,213,Male,DC,8.12,6.63,0.102,6.616,0.31,0,0.005,0.263,NA,August,NR,NA,0.000755744,0.039752116,2.270151867,Low contamination,1
9569,2010,292,Male,P27,7.25,6.1,0.11,5.292,0.29,NA,0.004,0.207,NA,October,NR,NA,0.000755858,0.039115646,2.331472678,High contamination,4
3661,2006,193,Male,DC,NA,6.8,0.116,7.931,NA,0,0.006,0.179,NA,July,NA,NA,0.000756525,0.022569663,2.522325972,Low contamination,0
4328,2007,199,Male,P27,7.72,6.27,0.102,5.286,0.24,0,0.004,0.097,NA,July,NR,NA,0.000756716,0.018350359,2.144492523,High contamination,1
6633,2010,236,Male,SI,7.99,6.48,0.118,6.605,0.28,0,0.005,0.2,NA,August,NR,NA,0.000757002,0.030280091,2.427436089,High contamination,4
6184,2007,227,Male,DC,8.45,7.08,0.101,7.918,0.18,0,0.006,0.22,NA,August,NR,NA,0.000757767,0.027784794,2.231082986,Low contamination,1
8615,2012,277,Male,FP,9.36,6.67,0.128,7.91,0.29,NA,0.006,0.13,NA,October,NR,NA,0.000758534,0.016434893,2.665624564,Low contamination,6
13448,2017,249,Male,P27,8.25,6.57,1.38,7.91,0.26,0.001,0.006,0.206,C,September,NR,NA,0.000758534,0.026042984,2.789204613,High contamination,11
11091,2013,276,Male,DC,10.44,8.51,1.05,15.815,0.38,0,0.012,0.545,B,October,NR,NA,0.000758773,0.034460955,2.566141002,Low contamination,7
7672,2006,263,Male,LS,7.15,5.81,0.105,5.271,NA,0,0.004,0.137,NA,September,NA,NA,0.000758869,0.025991273,2.687599917,Low contamination,0
5787,2005,222,Male,DC,NA,8.43,NA,17.129,NA,0.005,0.013,0.844,NA,August,NA,NA,0.000758947,0.049273162,2.859231274,Low contamination,-1
8651,2012,277,Male,LS,8.7,6.93,0.137,9.221,0.27,0.002,0.007,0.264,NA,October,NR,NA,0.000759137,0.0286303,2.770628633,Low contamination,6
11049,2013,269,Male,P27,8.63,7.05,1.06,9.216,0.21,0,0.007,0.314,D,September,NR,NA,0.000759549,0.034071181,2.630117283,High contamination,7
8646,2012,277,Male,FP,8.24,6.53,0.121,7.896,0.34,0.001,0.006,0.16,NA,October,NR,NA,0.000759878,0.020263425,2.835747748,Low contamination,6
7935,2011,265,Male,P27,5.9,4.89,0.069,2.631,0.15,NA,0.002,0.073,NA,September,NR,NA,0.000760167,0.027746104,2.250060889,High contamination,5
3306,2005,181,Male,LS,NA,7.53,NA,9.203,NA,NA,0.007,0.285,NA,June,NA,NA,0.000760622,0.030968163,2.155482461,Low contamination,-1
12615,2016,220,Male,P27,9.72,8.09,1.37,13.147,0.33,0.003,0.01,0.628,A,August,NR,NA,0.00076063,0.047767552,2.483025034,High contamination,10
9936,2006,298,Male,FP,8.03,6.52,0.108,7.887,NA,0,0.006,0.154,NA,October,NA,NA,0.000760746,0.019525802,2.845568559,Low contamination,0
9008,2011,279,Male,FP,8.18,6.51,0.137,7.884,0.41,NA,0.006,0.195,NA,October,NR,NA,0.000761035,0.024733638,2.857614559,Low contamination,5
4974,2005,208,Male,FP,NA,6.51,NA,6.568,NA,NA,0.005,0.109,NA,July,NA,NA,0.000761267,0.016595615,2.380620551,Low contamination,-1
1394,2006,151,Male,GC,NA,4.93,0.066,2.625,NA,NA,0.002,0.042,NA,May,NA,NA,0.000761905,0.016,2.190728458,Low contamination,0
6667,2011,236,Male,LS,9.44,7.81,0.143,10.5,0.33,NA,0.008,0.306,NA,August,NR,NA,0.000761905,0.029142857,2.204124883,Low contamination,5
2298,2011,166,Male,DC,6.75,5.75,0.101,3.935,0.2,0.001,0.003,0.076,NA,June,NR,NA,0.000762389,0.01931385,2.0698611,Low contamination,5
12154,2016,136,Male,LS,7.75,6.56,0.98,6.55,0.16,0.002,0.005,0.213,C,May,NR,NA,0.000763359,0.032519084,2.32022329,Low contamination,10
4967,2005,208,Male,LS,NA,6.78,NA,6.55,NA,0.002,0.005,0.217,NA,July,NA,NA,0.000763359,0.033129771,2.101610446,Low contamination,-1
8650,2012,277,Male,LS,8.14,6.5,0.127,7.858,0.27,NA,0.006,0.273,NA,October,NR,NA,0.000763553,0.034741665,2.861356395,Low contamination,6
17202,2022,275,Male,P27,7.79,6.71,1.35,7.853,0.28,0.002,0.006,0.172,D,October,NR,NA,0.000764039,0.021902458,2.599369609,High contamination,16
3046,2011,179,Male,P27,9.45,7.89,0.134,10.464,0.28,0.002,0.008,0.248,NA,June,NR,NA,0.000764526,0.023700306,2.130427313,High contamination,5
16253,2021,262,Male,P27,8.94,7.25,1.42,10.458,0.25,0.001,0.008,0.37,D,September,NR,NA,0.000764965,0.035379614,2.74431916,High contamination,15
15493,2020,289,Male,LS,8.81,7.07,1.29,10.454,0.26,0,0.008,0.475,D,October,NR,NA,0.000765257,0.045437153,2.95817767,Low contamination,14
14561,2019,199,Male,P27,6.02,4.82,0.7,2.613,0.1,NA,0.002,0.046,B,July,NR,NA,0.000765404,0.017604286,2.333448901,High contamination,13
2580,2007,171,Male,DC,7.57,6.12,0.1,5.226,0.28,0.001,0.004,0.158,NA,June,NR,NA,0.000765404,0.030233448,2.279896537,Low contamination,1
5084,2010,211,Male,P27,9.66,7.98,0.147,13.062,0.43,0.002,0.01,0.624,NA,July,NR,NA,0.00076558,0.047772164,2.570401733,High contamination,4
3377,2007,185,Male,LS,12.23,9.98,0.147,23.5,0.35,0,0.018,0.715,NA,July,NR,NA,0.000765957,0.030425532,2.364156589,Low contamination,1
2446,2009,170,Male,DC,11.35,9.24,0.168,22.166,0.31,0.006,0.017,1.004,NA,June,NR,NA,0.00076694,0.045294595,2.809774167,Low contamination,3
3694,2006,193,Male,FP,12.99,10.63,0.186,35.191,NA,0.006,0.027,2.432,NA,July,NA,NA,0.000767242,0.069108579,2.929758443,Low contamination,0
5220,2007,213,Male,LS,7.38,6.07,0.072,5.211,0.18,0,0.004,0.174,NA,August,NR,NA,0.000767607,0.033390904,2.329995058,Low contamination,1
7660,2006,263,Male,GC,9.56,7.86,0.165,13.026,NA,0.004,0.01,0.253,NA,September,NA,NA,0.000767695,0.019422693,2.682522885,Low contamination,0
5615,2006,221,Male,DC,11.57,9.26,0.185,22.144,NA,0.006,0.017,0.71,NA,August,NA,NA,0.000767702,0.032062861,2.788836878,Low contamination,0
7040,2012,249,Male,FP,8.58,7.08,0.12,7.811,0.2,0,0.006,0.266,NA,September,NR,NA,0.000768147,0.034054538,2.200933216,Low contamination,6
2963,2006,179,Male,DC,NA,6.57,0.103,6.509,NA,0,0.005,0.09,NA,June,NA,NA,0.000768167,0.013827009,2.295187462,Low contamination,0
10914,2013,232,Male,FP,8.33,6.63,1.03,7.805,0.21,NA,0.006,0.175,A,August,NR,NA,0.000768738,0.022421525,2.678134118,Low contamination,7
9032,2011,279,Male,SI,7.31,5.81,0.12,5.201,0.32,NA,0.004,0.149,NA,October,NR,NA,0.000769083,0.028648337,2.651908019,High contamination,5
6318,2007,234,Male,GC,10.02,8.1,0.122,13.001,0.32,0.002,0.01,0.431,NA,August,NR,NA,0.000769172,0.033151296,2.446367518,Low contamination,1
14028,2018,250,Male,FP,10.81,8.86,1.66,16.88,0.31,NA,0.013,0.43,NA,September,NR,NA,0.000770142,0.025473934,2.427008384,Low contamination,12
12694,2016,234,Male,DC,8.36,6.9,1.09,7.785,0.19,0.001,0.006,0.252,C,August,NR,NA,0.000770713,0.032369942,2.369798088,Low contamination,10
6347,2006,235,Male,LS,8.47,6.93,0.122,9.076,NA,0,0.007,0.24,NA,August,NA,NA,0.000771265,0.026443367,2.727060566,Low contamination,0
5654,2006,221,Male,LS,10.64,8.65,0.147,15.551,NA,0.003,0.012,0.458,NA,August,NA,NA,0.000771655,0.029451482,2.402757818,Low contamination,0
10941,2013,255,Male,LS,12.33,10.25,1.94,28.462,0.39,0.005,0.022,0.84,B,September,NR,NA,0.00077296,0.029513035,2.642979643,Low contamination,7
15571,2020,267,Male,LS,10.04,8.14,1.44,15.508,0.31,0.002,0.012,0.535,A,September,NR,NA,0.000773794,0.034498323,2.875296116,Low contamination,14
10515,2013,176,Male,DC,8.56,6.95,1.19,10.329,0.23,NA,0.008,0.393,D,June,NR,NA,0.000774518,0.038048214,3.076832566,Low contamination,7
8589,2012,277,Male,FP,9.74,7.85,0.154,12.898,0.35,0.001,0.01,0.341,NA,October,NR,NA,0.000775314,0.026438207,2.66632695,Low contamination,6
2879,2008,178,Male,LS,5.82,4.75,0.078,2.579,0.22,0,0.002,0.072,NA,June,NR,NA,0.000775494,0.027917798,2.406414929,Low contamination,2
13523,2017,277,Male,SI,5.85,4.75,0.84,2.579,0.1,NA,0.002,0.089,B,October,NR,NA,0.000775494,0.0345095,2.406414929,High contamination,11
17097,2022,248,Male,LS,11.64,9.5,1.27,20.626,0.37,0.007,0.016,0.521,D,September,NR,NA,0.00077572,0.025259381,2.405715119,Low contamination,16
301,2007,115,Male,P27,10.27,8.83,0.159,12.882,0.28,0,0.01,0.072,NA,NA,NR,NA,0.000776277,0.005589194,1.871118032,High contamination,1
8927,2010,279,Male,P27,7.54,6.57,0.122,6.438,0.32,0.001,0.005,0.233,NA,October,NR,NA,0.000776639,0.036191364,2.270151618,High contamination,4
468,2005,131,Male,DC,NA,8.83,NA,18.025,NA,0,0.014,0.424,NA,May,NA,NA,0.000776699,0.023522885,2.618141789,Low contamination,-1
16202,2021,262,Male,FP,8.99,7.15,1.18,10.296,0.33,0.001,0.008,0.268,A,September,NR,NA,0.000777001,0.026029526,2.816763656,Low contamination,15
16163,2021,249,Male,LS,8.24,6.29,1.23,7.72,0.29,0.001,0.006,0.202,C,September,NR,NA,0.000777202,0.026165803,3.10216836,Low contamination,15
8023,2004,266,Male,FP,NA,9.91,NA,25.73,NA,NA,0.02,0.956,NA,September,NA,NA,0.000777303,0.037155072,2.643740492,Low contamination,-2
1796,2005,159,Male,LS,NA,6.9,NA,7.712,NA,NA,0.006,0.103,NA,June,NA,NA,0.000778008,0.013355809,2.347576474,Low contamination,-1
3847,2004,194,Male,DC,NA,8.1,NA,14.134,NA,NA,0.011,0.513,NA,July,NA,NA,0.000778265,0.036295458,2.659561456,Low contamination,-2
7065,2012,249,Male,P27,6.06,4.78,0.09,2.569,0.21,NA,0.002,0.039,NA,September,NR,NA,0.000778513,0.015181004,2.352233411,High contamination,6
16377,2021,276,Male,DC,6.72,5.14,0.83,3.853,0.17,0,0.003,0.14,D,October,NR,NA,0.000778614,0.036335323,2.837328706,Low contamination,15
6367,2006,235,Male,FP,12.96,10.93,0.215,34.676,NA,0.007,0.027,1.406,NA,August,NA,NA,0.000778637,0.040546776,2.655635762,Low contamination,0
1376,2006,151,Male,LS,NA,7.5,0.123,11.547,NA,0.003,0.009,0.404,NA,May,NA,NA,0.000779423,0.034987443,2.737066667,Low contamination,0
17011,2022,222,Male,LS,7.28,5.95,0.84,5.13,0.15,0.003,0.004,0.167,D,August,NR,NA,0.000779727,0.032553606,2.435378501,Low contamination,16
8085,2004,266,Male,GC,NA,6.34,NA,6.402,NA,NA,0.005,0.317,NA,September,NA,NA,0.000781006,0.049515776,2.51216347,Low contamination,-2
4964,2005,208,Male,LS,NA,6.9,NA,8.956,NA,0.001,0.007,0.292,NA,July,NA,NA,0.000781599,0.032603841,2.726257119,Low contamination,-1
14486,2019,257,Male,DC,9.79,7.98,1.68,14.072,0.26,0.001,0.011,0.484,A,September,NR,NA,0.000781694,0.034394542,2.769154279,Low contamination,13
15137,2020,197,Male,DC,9.59,7.61,1.26,12.783,0.3,0,0.01,0.331,C,July,NR,NA,0.000782289,0.025893765,2.90053973,Low contamination,14
7490,2007,255,Male,DC,8.76,7.32,0.112,10.226,0.25,0.01,0.008,0.335,NA,September,NR,NA,0.00078232,0.032759632,2.607189181,Low contamination,1
14779,2019,227,Male,LS,9.01,7.25,1.27,11.502,0.28,0.003,0.009,0.476,D,August,NR,NA,0.000782473,0.041384107,3.018278732,Low contamination,13
7882,2012,264,Male,P27,7.63,6,0.104,5.111,0.18,NA,0.004,0.108,NA,September,R,PM,0.000782626,0.021130894,2.366203704,High contamination,6
15537,2020,254,Male,DC,8.64,6.83,1.09,8.939,0.28,0.001,0.007,0.288,D,September,NR,NA,0.000783085,0.032218369,2.805606934,Low contamination,14
7964,2011,265,Male,P27,10.18,8.24,0.144,14.045,0.28,0.002,0.011,0.381,NA,September,NR,NA,0.000783197,0.027127091,2.510383712,High contamination,5
15594,2020,267,Male,DC,5.82,4.64,0.67,2.552,0.16,0,0.002,0.064,B,September,NR,NA,0.000783699,0.02507837,2.554622473,Low contamination,14
5941,2011,222,Male,LS,11.37,9.28,0.17,22.967,0.43,0.003,0.018,0.87,NA,August,NR,NA,0.000783733,0.037880437,2.873825154,Low contamination,5
7825,2012,264,Male,P27,7.74,6.28,0.118,6.378,0.26,NA,0.005,0.181,NA,September,NR,NA,0.000783945,0.028378802,2.575168099,High contamination,6
15465,2020,254,Male,GC,8.95,7.34,1.28,11.466,0.27,0,0.009,0.317,A,September,NR,NA,0.000784929,0.027646956,2.899504304,Low contamination,14
5844,2006,222,Male,LS,12.69,10.34,0.198,29.294,0.45,0.006,0.023,0.598,NA,August,NR,NA,0.000785144,0.020413737,2.649824193,Low contamination,0
8702,2012,277,Male,LS,10.13,8.16,0.173,15.28,0.37,0.002,0.012,0.464,NA,October,NR,NA,0.00078534,0.030366492,2.812243217,Low contamination,6
6444,2012,235,Male,P27,9.44,7.63,0.143,11.456,0.33,0.002,0.009,0.262,NA,August,NR,NA,0.000785615,0.022870112,2.579047798,High contamination,6
13439,2017,249,Male,LS,7.56,5.89,1,5.091,0.26,0.001,0.004,0.148,A,September,NR,NA,0.0007857,0.029070909,2.491478895,Low contamination,11
2157,2006,165,Male,DC,NA,7.45,0.132,11.448,NA,0,0.009,0.274,NA,June,NA,NA,0.000786164,0.023934312,2.768603748,Low contamination,0
4769,2011,207,Male,DC,9.61,7.71,0.131,12.72,0.22,0.001,0.01,0.435,NA,July,NR,NA,0.000786164,0.034198113,2.775389732,Low contamination,5
4416,2008,199,Male,LS,10.07,8.19,0.114,13.984,0.34,0,0.011,0.298,NA,July,NR,NA,0.000786613,0.021310069,2.545538735,Low contamination,2
10978,2013,255,Male,LS,9.15,7.54,1.28,10.164,0.35,0,0.008,0.242,D,September,NR,NA,0.000787092,0.023809524,2.371104085,Low contamination,7
6196,2007,227,Male,LS,8.76,7.12,0.1,8.893,0.19,0,0.007,0.38,NA,August,NR,NA,0.000787136,0.042730237,2.463816228,Low contamination,1
17048,2022,236,Male,DC,8.75,7.41,1.34,10.15,0.35,0.002,0.008,0.238,C,August,NR,NA,0.000788177,0.023448276,2.494660315,Low contamination,16
7303,2006,251,Male,P27,6.73,5.51,0.081,3.805,0.15,0,0.003,0.078,NA,September,NR,NA,0.000788436,0.020499343,2.274572921,High contamination,0
6244,2006,230,Male,LS,12.78,10.36,0.19,27.882,0.43,0.004,0.022,1.044,NA,August,NR,NA,0.00078904,0.037443512,2.507521449,Low contamination,0
5457,2009,217,Male,LS,6.47,5.41,0.078,3.802,0.21,0,0.003,0.082,NA,August,NR,NA,0.000789058,0.021567596,2.401155672,Low contamination,3
16825,2022,207,Male,DC,9.27,7.51,1.22,10.138,0.25,0.004,0.008,0.435,A,July,NR,NA,0.00078911,0.042907871,2.393494732,Low contamination,16
11686,2014,263,Male,P27,9.9,8.03,1.41,12.669,0.24,NA,0.01,0.286,C,September,NR,NA,0.000789328,0.022574789,2.446784385,High contamination,8
14052,2018,262,Male,FP,9.3,7.77,1.46,11.4,0.28,NA,0.009,0.438,C,September,NR,NA,0.000789474,0.038421053,2.43019876,Low contamination,12
9799,2007,296,Male,SI,8.18,6.62,0.106,7.6,0.21,0.003,0.006,0.292,NA,October,NR,NA,0.000789474,0.038421053,2.619628001,High contamination,1
6690,2011,236,Male,P27,10.22,9.07,0.187,20.25,0.31,0.001,0.016,0.63,NA,August,NR,NA,0.000790123,0.031111111,2.713958275,High contamination,5
1837,2010,159,Male,LS,10.97,8.9,0.2,20.212,0.43,0.002,0.016,0.742,NA,June,NR,NA,0.000791609,0.036710865,2.867076425,Low contamination,4
7653,2006,263,Male,DC,9.81,8.08,0.136,12.631,NA,0.002,0.01,0.314,NA,September,NA,NA,0.000791703,0.024859473,2.394438312,Low contamination,0
15374,2020,239,Male,DC,8.4,6.69,1.08,8.841,0.24,0.002,0.007,0.277,B,August,NR,NA,0.000791766,0.031331297,2.952725246,Low contamination,14
4706,2006,207,Male,DC,9.97,7.91,0.14,13.883,NA,0.002,0.011,0.358,NA,July,NA,NA,0.000792336,0.025786934,2.805135686,Low contamination,0
3696,2006,193,Male,FP,9.03,7.33,0.117,10.086,NA,0.003,0.008,0.419,NA,July,NA,NA,0.000793179,0.041542733,2.56098503,Low contamination,0
7071,2012,249,Male,FP,7.76,6.46,0.135,6.303,0.1,0.001,0.005,0.174,NA,September,NR,NA,0.000793273,0.027605902,2.338028243,Low contamination,6
6984,2012,249,Male,LS,8.82,7.09,0.13,8.823,0.25,NA,0.007,0.178,NA,September,NR,NA,0.000793381,0.020174544,2.475583467,Low contamination,6
8652,2012,277,Male,LS,10.69,8.57,0.177,17.646,0.36,0.002,0.014,0.445,NA,October,NR,NA,0.000793381,0.02521818,2.803520971,Low contamination,6
15407,2020,254,Male,GC,9.28,7.46,1.56,11.337,0.36,0.003,0.009,0.561,C,September,NR,NA,0.000793861,0.04948399,2.730748251,Low contamination,14
7484,2007,255,Male,DC,6.06,5,0.085,2.518,0.1,0,0.002,0.34,NA,September,NR,NA,0.000794281,0.1350278,2.0144,Low contamination,1
3236,2006,180,Male,LS,9.83,8.33,0.144,13.846,0.4,0.005,0.011,0.256,NA,June,NR,NA,0.000794453,0.018489094,2.395462205,Low contamination,0
5298,2005,215,Male,DC,NA,10.67,NA,31.466,NA,0.012,0.025,1.181,NA,August,NA,NA,0.000794508,0.037532575,2.590289351,Low contamination,-1
8898,2010,279,Male,LS,9.12,7.72,0.141,11.327,0.22,0.002,0.009,0.345,NA,October,NR,NA,0.000794562,0.030458197,2.461858002,Low contamination,4
2872,2008,178,Male,LS,9.41,7.91,0.146,12.585,0.27,0.002,0.01,0.275,NA,June,NR,NA,0.000794597,0.02185141,2.542867724,Low contamination,2
16124,2021,236,Male,LS,9.03,6.65,1.22,10.068,0.24,0,0.008,0.413,D,August,NR,NA,0.000794597,0.041021057,3.423562581,Low contamination,15
4458,2005,201,Male,DC,NA,8.79,NA,16.356,NA,0.003,0.013,0.621,NA,July,NA,NA,0.000794815,0.037967718,2.408299396,Low contamination,-1
7827,2012,264,Male,P27,8.69,6.98,0.135,8.797,0.25,NA,0.007,0.23,NA,September,NR,NA,0.000795726,0.026145277,2.586832592,High contamination,6
2159,2006,165,Male,DC,NA,7.36,0.137,10.05,NA,0,0.008,0.182,NA,June,NA,NA,0.00079602,0.018109453,2.520766501,Low contamination,0
11714,2014,277,Male,P27,9.84,8.02,1.46,13.811,0.25,NA,0.011,0.508,D,October,NR,NA,0.000796467,0.036782275,2.677330715,High contamination,8
8773,2005,278,Male,DC,NA,7.44,NA,10.039,NA,0.005,0.008,0.27,NA,October,NA,NA,0.000796892,0.026895109,2.437651674,Low contamination,-1
3434,2007,185,Male,DC,7.92,6.75,0.097,6.273,0.18,0,0.005,0.235,NA,July,NR,NA,0.000797067,0.037462139,2.039689072,Low contamination,1
8905,2010,279,Male,LS,10.64,8.73,0.157,16.304,0.41,0.002,0.013,0.412,NA,October,NR,NA,0.00079735,0.025269872,2.450481542,Low contamination,4
7285,2006,251,Male,P27,9.34,7.56,0.128,10.024,0.3,0.003,0.008,0.2,NA,September,NR,NA,0.000798085,0.019952115,2.319934223,High contamination,0
7729,2010,264,Male,FP,7.66,6.23,0.129,6.265,0.21,0,0.005,0.132,NA,September,NR,NA,0.000798085,0.021069433,2.590937491,Low contamination,4
14450,2019,241,Male,DC,10.53,8.21,1.8,11.263,0.37,NA,0.009,0.095,C,August,NR,NA,0.000799077,0.008434698,2.035282099,Low contamination,13
10802,2013,218,Male,LS,9.37,7.72,1.15,12.505,0.33,NA,0.01,0.404,C,August,NR,NA,0.00079968,0.032307077,2.717889495,Low contamination,7
15393,2020,239,Male,DC,9.25,7.6,1.34,13.737,0.29,0.002,0.011,0.47,C,August,NR,NA,0.000800757,0.034214166,3.129328255,Low contamination,14
7665,2006,263,Male,LS,12.05,9.97,0.183,27.474,NA,0.006,0.022,1.1,NA,September,NA,NA,0.000800757,0.040037854,2.772275705,Low contamination,0
17238,2022,275,Male,FP,8.96,7.6,1.31,9.988,0.16,0.004,0.008,0.138,D,October,NR,NA,0.000800961,0.01381658,2.275295233,Low contamination,16
7181,2011,250,Male,LS,10.81,8.79,0.201,19.965,0.36,NA,0.016,0.726,NA,September,NR,NA,0.000801402,0.036363636,2.939697813,Low contamination,5
12242,2016,150,Male,P27,6.03,4.9,0.77,2.495,0.1,0.001,0.002,0.042,B,May,NR,NA,0.000801603,0.016833667,2.120715008,High contamination,10
10680,2013,204,Male,DC,8.11,6.53,0.97,7.484,0.25,NA,0.006,0.222,B,July,NR,NA,0.00080171,0.029663282,2.6877832,Low contamination,7
7090,2006,250,Male,DC,9.89,8.17,0.151,14.967,NA,0.004,0.012,0.306,NA,September,NA,NA,0.000801764,0.020444979,2.744533834,Low contamination,0
10510,2013,176,Male,DC,5.67,4.59,0.66,2.493,0.13,NA,0.002,0.079,D,June,NR,NA,0.000802246,0.031688728,2.57800777,Low contamination,7
7620,2005,263,Male,LS,NA,10.33,NA,28.667,NA,0.006,0.023,0.926,NA,September,NA,NA,0.000802316,0.03230195,2.60064625,Low contamination,-1
6620,2010,236,Male,P27,9.16,7.38,0.135,9.967,0.39,0,0.008,0.322,NA,August,NR,NA,0.000802649,0.032306612,2.479678479,High contamination,4
8630,2012,277,Male,FP,9.53,7.75,0.138,12.454,0.29,0.003,0.01,0.255,NA,October,NR,NA,0.000802955,0.020475349,2.675492598,Low contamination,6
8317,2005,271,Male,LS,NA,10.07,NA,22.408,NA,0.005,0.018,0.693,NA,September,NA,NA,0.000803285,0.030926455,2.194394389,Low contamination,-1
5754,2012,221,Male,P27,9.84,8,0.137,13.688,0.22,NA,0.011,0.338,NA,August,NR,NA,0.000803624,0.024693162,2.6734375,High contamination,6
14666,2019,212,Male,LS,11.21,9.18,1.61,19.902,0.29,0.005,0.016,0.523,A,July,NR,NA,0.000803939,0.026278766,2.572578752,Low contamination,13
7619,2005,263,Male,LS,NA,11.22,NA,36.071,NA,0.004,0.029,1.508,NA,September,NA,NA,0.00080397,0.041806437,2.553757245,Low contamination,-1
16153,2021,236,Male,FP,10.42,7.85,1.45,14.924,0.14,0,0.012,0.375,A,August,NR,NA,0.000804074,0.025127312,3.085149899,Low contamination,15
5700,2012,221,Male,FP,5.86,4.74,0.06,2.486,0.1,NA,0.002,0.043,NA,August,NR,NA,0.000804505,0.017296862,2.334350682,Low contamination,6
4814,2011,207,Male,LS,10.03,8.27,0.16,13.665,0.17,0,0.011,0.562,NA,July,NR,NA,0.000804976,0.041126967,2.415978735,Low contamination,5
8155,2007,267,Male,LS,9.86,8.11,0.146,13.663,0.33,0.003,0.011,0.565,NA,September,NR,NA,0.000805094,0.041352558,2.56143598,Low contamination,1
9227,2007,283,Male,P27,10.48,8.35,0.161,14.895,0.36,0.002,0.012,0.438,NA,October,NR,NA,0.000805639,0.029405841,2.558474431,High contamination,1
13950,2018,278,Male,P27,9.46,7.89,1.37,12.41,0.25,0.003,0.01,0.335,NA,October,NR,NA,0.000805802,0.026994359,2.5266249,High contamination,12
3032,2011,179,Male,FP,5.92,4.94,0.093,2.48,0.19,0.001,0.002,0.052,NA,June,NR,NA,0.000806452,0.020967742,2.057173087,Low contamination,5
8303,2005,271,Male,DC,NA,7.47,NA,9.918,NA,0.002,0.008,0.408,NA,September,NA,NA,0.000806614,0.041137326,2.379371737,Low contamination,-1
7488,2007,255,Male,DC,11.31,9.36,0.146,19.829,0.37,0.02,0.016,0.544,NA,September,NR,NA,0.000806899,0.027434566,2.418094485,Low contamination,1
13518,2017,277,Male,FP,8.16,6.49,1.22,7.431,0.23,0.001,0.006,0.244,B,October,NR,NA,0.000807428,0.032835419,2.718398807,Low contamination,11
629,2006,137,Male,LS,NA,7.94,0.137,14.857,NA,0,0.012,0.364,NA,May,NA,NA,0.0008077,0.024500236,2.968039088,Low contamination,0
6253,2006,230,Male,GC,8.85,7.22,0.113,8.665,0.33,0.003,0.007,0.139,NA,August,NR,NA,0.000807848,0.016041546,2.302273816,Low contamination,0
5304,2005,215,Male,DC,NA,9.93,NA,25.987,NA,0.005,0.021,1.073,NA,August,NA,NA,0.000808096,0.041289876,2.654045726,Low contamination,-1
5637,2006,221,Male,FP,6.74,5.45,0.088,3.711,NA,0,0.003,0.046,NA,August,NA,NA,0.000808407,0.012395581,2.292458316,Low contamination,0
16024,2021,223,Male,LS,9.41,7.56,0.93,11.129,0.26,0,0.009,0.338,D,August,NR,NA,0.000808698,0.030371103,2.575673181,Low contamination,15
14407,2019,271,Male,FP,6.35,5.14,0.74,3.706,0.25,NA,0.003,0.08,B,September,NR,NA,0.000809498,0.021586616,2.729078688,Low contamination,13
14293,2019,257,Male,LS,10.98,9,1.75,20.993,0.38,0.005,0.017,0.742,B,September,NR,NA,0.000809794,0.035345115,2.879698217,Low contamination,13
7202,2011,250,Male,P27,10.11,8.03,0.176,13.58,0.26,NA,0.011,0.436,NA,September,NR,NA,0.000810015,0.032106038,2.622727283,High contamination,5
11806,2015,133,Male,LS,8.06,6.44,0.99,6.161,0.25,0.001,0.005,0.094,C,May,NR,NA,0.000811557,0.015257263,2.306713231,Low contamination,9
7732,2010,264,Male,FP,6.51,5.2,0.107,3.696,0.31,0,0.003,0.134,NA,September,NR,NA,0.000811688,0.036255411,2.628584433,Low contamination,4
6871,2008,241,Male,LS,8.95,6.91,0.134,9.854,0.26,0,0.008,0.244,NA,August,NR,NA,0.000811853,0.024761518,2.986609319,Low contamination,2
8730,2005,278,Male,DC,NA,7.44,NA,9.853,NA,0.003,0.008,0.298,NA,October,NA,NA,0.000811935,0.030244596,2.392487493,Low contamination,-1
6351,2006,235,Male,LS,5.79,4.65,0.071,2.462,NA,0,0.002,0.06,NA,August,NA,NA,0.000812348,0.024370431,2.448663964,Low contamination,0
12853,2016,294,Male,LS,8.2,6.85,1.18,7.384,0.3,0.001,0.006,0.178,C,October,NR,NA,0.000812568,0.024106176,2.29731196,Low contamination,10
1425,2006,151,Male,FP,NA,6.14,0.101,6.153,NA,0.002,0.005,0.148,NA,May,NA,NA,0.000812612,0.024053307,2.658164182,Low contamination,0
5381,2010,215,Male,P27,10.53,8.53,0.166,14.729,0.44,0.001,0.012,0.483,NA,August,NR,NA,0.000814719,0.03279245,2.37315535,High contamination,4
7525,2005,257,Male,FP,NA,8.13,NA,14.728,NA,0.009,0.012,0.616,NA,September,NA,NA,0.000814775,0.041825095,2.74076714,Low contamination,-1
8445,2006,277,Male,LS,10.57,8.65,0.166,19.629,NA,0.007,0.016,0.516,NA,October,NA,NA,0.00081512,0.026287636,3.032842467,Low contamination,0
